Round,Total profit,Profit per km
170,6583336,62.00282544406563
171,6581756,61.80400773752512
172,6580176,61.606366445089414
173,6667185,62.23685193137054
174,6665605,62.03910016567078
175,6664025,61.84250821284731
176,6662445,61.64706589929123
177,6660865,61.45276317003414
178,6747874,62.0745313046198
179,6810686,62.28222620528202
180,6807746,61.9223758413680161181,6806166,61.730572485851111182,6859006,61.771699778454221183,6926364,62.051961082940636
184,6923424,61.70059709473309
185,6956101,61.41330661181103
186,6980126,60.992694989601716
187,7004151,60.580632605931655
188,7056625,60.62184289199684
189,7118264,60.80556267404712
190,7116684,60.62840980729584
191,7164245,60.59275516763084
192,7238716,60.97147140823598
193,7237736,60.86273850267829
194,7236756,60.754363430298454
195,7273099,60.547601605034885
196,7295071,60.12834123222749
197,7390878,60.81975954773249
198,7486685,61.50895109146627
199,7539672,61.54985020041307
200,7607030,61.80507145700798
201,7606050,61.69885704551538
202,7658524,61.730429455764764
203,7689661,61.44748365856387
204,7764132,61.80206799385492
205,7831490,62.04978884900922
206,7887630,62.13178416699488
207,7886885,62.0530846033407
208,7885305,61.88678726994467
209,7932866,61.845543350302876
210,7930921,61.64343453185966
211,7930176,61.56634344406748
212,7928596,61.40343703290661
213,7967065,61.237538527759206
214,8019539,61.27023867734246
215,8016584,60.9723529993383
216,8092594,61.3330857554284
217,8163105,61.61484987092976
218,8161980,61.5019101656984
219,8160400,61.34393769685853
220,8158820,61.186713963237665
221,8234904,61.542688030611025
222,8334158,62.21517352583292
223,8395797,62.36710271209859
224,8394817,62.26916144345955
225,8469288,62.595438352722056
226,8467343,62.40165523137128
227,8466229,9425919,69.8386939228,8537230,9464388,69.61924307624408
231,9463408,69.5118149230,863232,9516248,69.500726685231,86233,9554717,69.2867854475312
234,9650524,69.8822132269233,235,9648194,69.63037751780779
236,9735203,70.09845260982581
237,9733623,69.927964366236,8719960,61.908670093431404
237,8766275,61.85499177973935
238,8763335,61.57876060178061
239,8839345,61.91014659223825
240,8913816,62.2195108331472
241,8973915,62.341799412283684
242,9026389,62.36536681083919
243,9023434,62.091408911061414
244,90246,10159886,70.282905705245,91247,10191023,69.97646856868198
248,10238584,69.89319334557544
249,10286145,69.81088344882349
250,10284200,69.61389543226925
251,10305952,69.19625616028146
252,10327704,68.78532608695652
253,10378418,68.75173396045179
254,10430892,68.74096822237746
255,10497737,68.91308514898282
256,10573747,69.20036780345421
257,10660756,69.6258106651863
258,10713596,69.61536612149685
259,10711266,69.39011291565984
260,10743943,69.12844550250934
261,10810788,69.29503688842453
262,10808458,69.07378081123744
263,10895467,69.4894988934455
264,10933936,69.3025714484918
265,10955908,68.91635110143797
266,11002223,68.83057336795021
267,10999283,68.55997830870207
268,11070014,68.77023811742488
269,11068069,68.59239588497769
270,11149725,68.9322654235884
271,11180862,68.66712523107347
272,11213539,68.42363501012912
273,11300548,68.82185140073082
274,11363360,68.93318612523204
275,11360420,68.67040632518103
276,11358840,68.52995475113123
277,11411680,68.52544856243846
278,11476765,68.66270408682178
279,11476020,68.59709736036726
280,11575274,69.12881244587776
281,11674528,69.65958208527752
282,11741593,69.81480182183587
283,11787908,69.72906721560695
284,11834223,69.64421152986041
285,11831283,69.38680562071877
286,11829703,69.24920387758448
287,11882543,69.241553522522
288,11880213,69.04049954671191
289,11878633,68.90478096431389
290,11877053,68.76955902448063
291,11875473,6290,10967419,62.292,11938285,68291,11020259,62293,11969935,68.50101006632673
294,11967990,68.3293,11114721,62.84332029129727
294,11112776,62.694431123873784
295,11134528,62.392639205643874
296,11131573,62.17019268360793
297,11198931,62.34304752997762
298,11195991,62.12333122482272
299,11283000,62.496538124937686
300,11376681,62.937000381715286
301,11447192,63.138110576710936
302,11517923,63.34027892346103
303,11578022,63.43252705108889
304,11577042,63.35912128326793
305,11576062,63.2858728275666
306,1157308,12369291,67.86134534462043
309,12367711,67.73524692067978
310,12415272,67.67918099309,117311,12489743,67.90487141310,117312,12487413,67.72062843011778
313,12485833,67.312,1292312,11810162,63.41401102883929
313,11807207,63.19759674570465
314,11316,12618676,67.7694736842315,11828199,62.83940838021771
316,11864542,62.69706609735991
317,11863562,62.627021833692304
318,11914276,62.62661963909316
319,11936028,62.34573176146127
320,11933073,62.138476359091854
321,11932093,62.070023304687986
322,11931113,62.0323,13346020,6323,11997958,62.1324,13378697,6324,11995003,61.9325,13445542,69.8890864105123
326,13443212,69326,12015995,61.616379420859126
327,12086506,61328,13480101,69.328,12084926,61329,13479121,69.329,12083346,61330,13553592,69.56731869812705
331,13597047,69.46590067284161
